Date,Mkt-RF,SMB,HML,RF
20150102,-1.39,0.1,0.53,0
20150109,-0.78,-0.36,-2.35,0
20150116,-1.32,0.43,-0.47,0
20150123,1.64,-0.68,-0.28,0
20150130,-2.5,0.6,-0.58,0
20150206,3.32,0.21,1.52,0
20150213,2.1,-0.44,-1.31,0
20150220,0.8,0.14,-1.51,0
20150227,-0.19,0.69,-0.45,0
20150306,-1.36,0.55,-0.5,0
20150313,-0.61,1.67,0.42,0
20150320,2.59,-0.03,-0.95,0
20150327,-2.16,0.39,0.26,0
20150402,0.45,0.7,1.1,0.001
20150410,1.67,-0.73,-1.37,0.001
20150417,-1.02,-0.02,0.76,0.001
20150424,1.77,-0.23,-1.39,0.001
20150501,-0.77,-2.61,2.43,0
20150508,0.41,0.05,0.16,0
20150515,0.42,0.32,-0.4,0
20150522,0.32,0.42,-0.07,0
20150529,-0.79,0.41,-0.13,0
20150605,-0.29,1.86,-0.01,0
20150612,0.12,0.13,0.6,0
20150619,0.83,0.71,-1.43,0
20150626,-0.35,0.36,0.6,0
20150702,-1.33,-1.58,-0.74,0
20150710,-0.01,0.18,-1.27,0
20150717,2.27,-1.45,-1.76,0
20150724,-2.33,-1.45,-0.32,0
20150731,1.19,-0.02,-0.83,0
20150807,-1.36,-1.26,0.88,0.001
20150814,0.69,-0.34,1.23,0.001
20150821,-5.69,1.19,0.04,0.001
20150828,1.07,-0.01,-0.72,0.001
20150904,-3.08,1.45,0.17,0
20150911,2.09,-0.44,-1.51,0
20150918,-0.15,1.22,-1.77,0
20150925,-1.77,-2.7,3.58,0
20151002,0.73,-1.64,0.6,0
20151009,3.44,1.57,2.02,0
20151016,0.62,-1.23,0.04,0
20151023,1.7,-1.51,0.13,0
20151030,0.18,-0.41,-1.59,0
20151106,1.38,2.61,0.64,0.001
20151113,-3.72,-0.9,-0.06,0.001
20151120,3.14,-0.53,-0.87,0.001
20151127,0.37,2.44,-0.91,0.001
20151204,-0.19,-1.53,0.16,0.003
20151211,-3.93,-0.88,-1.68,0.003
20151218,-0.35,0.14,-0.79,0.003
20151224,2.83,0.21,1,0.003
20151231,-0.9,-0.78,-0.58,0.003
20160108,-6.22,-1.79,0.46,0.002
20160115,-2.54,-1.32,-0.14,0.002
20160122,1.38,0.22,-1.59,0.002
20160129,1.71,-0.58,3.7,0.002
20160205,-3.36,-1.44,1.07,0.005
20160212,-0.81,-0.5,-0.44,0.005
20160219,3.09,0.96,-1.6,0.005
20160226,1.83,1.28,-0.01,0.005
20160304,3.08,1.24,2.48,0.005
20160311,1,-0.55,1.32,0.005
20160318,1.41,-0.33,0.13,0.005
20160324,-0.8,-0.86,-1.04,0.005
20160401,2.06,1.69,-2,0.002
20160408,-1.17,-0.1,-1.62,0.002
20160415,1.94,0.77,2.07,0.002
20160422,0.73,0.58,1.85,0.002
20160429,-1.19,-0.17,1.75,0.002
20160506,-0.63,-1.24,-0.51,0.003
20160513,-0.52,-0.56,-0.71,0.003
20160520,0.54,0.19,0.75,0.003
20160527,2.43,1.02,-0.84,0.003
20160603,0.16,1.31,-1.23,0.005
20160610,-0.24,0.54,-0.05,0.005
20160617,-1.2,-0.33,-0.15,0.005
20160624,-1.6,0.32,-0.23,0.005
20160701,3.14,-0.58,-0.68,0.005
20160708,1.38,0.81,-1.42,0.005
20160715,1.6,0.58,2.27,0.005
20160722,0.6,0,-1.21,0.005
20160729,0.07,0.66,-0.36,0.005
20160805,0.56,0.48,0.72,0.005
20160812,0.18,-0.35,-0.16,0.005
20160819,0.15,0.41,1.47,0.005
20160826,-0.53,0.62,0.37,0.005
20160902,0.7,0.14,0.66,0.005
20160909,-2.3,0.12,0.43,0.005
20160916,0.57,0.54,-2.59,0.005
20160923,1.26,1.16,-0.19,0.005
20160930,0.21,-0.22,1.21,0.005
20161007,-0.57,-0.51,1.31,0.004
20161014,-1.12,-1.26,0.62,0.004
20161021,0.42,-0.27,0.73,0.004
20161028,-0.77,-2.38,1.34,0.004
20161104,-1.89,-0.52,1.1,0.004
20161111,4.67,6.13,2.64,0.004
20161118,1.29,1.08,1.34,0.004
20161125,1.64,0.83,0.54,0.004
20161202,-1.13,-2.13,3.91,0.006
20161209,3.35,2.02,1.88,0.006
